raw_attribute_id,source_party_id,column_id,raw_value,ingestion_timestamp
RA_SP_SmartPlus_lead_L001_first_name,SP_SmartPlus_lead_L001,1,John,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_last_name,SP_SmartPlus_lead_L001,2,Smith,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_date_of_birth,SP_SmartPlus_lead_L001,3,1985-06-15,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_email,SP_SmartPlus_lead_L001,4,john.smith@email.com,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_phone,SP_SmartPlus_lead_L001,5,+852-9123-4567,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_address,SP_SmartPlus_lead_L001,6,"Flat 5A, 123 Queen's Road, Central, HK",2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_gov_id_type,SP_SmartPlus_lead_L001,8,HKID,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L001_gov_id_number,SP_SmartPlus_lead_L001,7,A123456(7),2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_first_name,SP_SmartPlus_lead_L002,1,Sarah,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_last_name,SP_SmartPlus_lead_L002,2,Lee,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_date_of_birth,SP_SmartPlus_lead_L002,3,1982-03-20,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_email,SP_SmartPlus_lead_L002,4,sarah.lee@email.com,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_phone,SP_SmartPlus_lead_L002,5,+852-9234-5678,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_address,SP_SmartPlus_lead_L002,6,"Unit 12B, 456 Nathan Road, Kowloon, HK",2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_gov_id_type,SP_SmartPlus_lead_L002,8,HKID,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L002_gov_id_number,SP_SmartPlus_lead_L002,7,B234567(8),2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_first_name,SP_SmartPlus_lead_L003,1,Susan,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_last_name,SP_SmartPlus_lead_L003,2,Martinez,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_date_of_birth,SP_SmartPlus_lead_L003,3,1987-02-18,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_email,SP_SmartPlus_lead_L003,4,susan.martinez@email.com,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_phone,SP_SmartPlus_lead_L003,5,+852-9123-4567,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_address,SP_SmartPlus_lead_L003,6,"Flat 8C, 789 Hennessy Road, Wan Chai, HK",2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_gov_id_type,SP_SmartPlus_lead_L003,8,HKID,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L003_gov_id_number,SP_SmartPlus_lead_L003,7,L123456(7),2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L004_first_name,SP_SmartPlus_lead_L004,1,Broker,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L004_last_name,SP_SmartPlus_lead_L004,2,Agency,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L004_email,SP_SmartPlus_lead_L004,4,broker@agency.com,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L004_phone,SP_SmartPlus_lead_L004,5,+852-9666-6666,2026-01-24T13:38:27.535618
RA_SP_SmartPlus_lead_L004_address,SP_SmartPlus_lead_L004,6,"Office Tower, HK",2026-01-24T13:38:27.535618
RA_SP_SmartPlus_application_A001_applicant_applicant_first_name,SP_SmartPlus_application_A001_applicant,45,John,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A001_applicant_applicant_last_name,SP_SmartPlus_application_A001_applicant,46,Smith,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A001_applicant_applicant_dob,SP_SmartPlus_application_A001_applicant,47,1985-06-15,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A001_applicant_applicant_email,SP_SmartPlus_application_A001_applicant,48,john.smith@email.com,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A001_applicant_applicant_phone,SP_SmartPlus_application_A001_applicant,49,+852-9123-4567,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A001_applicant_applicant_gov_id,SP_SmartPlus_application_A001_applicant,50,A123456(7),2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A002_applicant_applicant_first_name,SP_SmartPlus_application_A002_applicant,45,Sarah,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A002_applicant_applicant_last_name,SP_SmartPlus_application_A002_applicant,46,Lee,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A002_applicant_applicant_dob,SP_SmartPlus_application_A002_applicant,47,1982-03-20,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A002_applicant_applicant_email,SP_SmartPlus_application_A002_applicant,48,sarah.lee@email.com,2026-01-24T13:38:27.563719
RA_SP_SmartPlus_application_A002_applicant_applicant_phone,SP_SmartPlus_application_A002_applicant,49,+852-9234-5678,2026-01-24T13:38:27.563719
